Date,Clicks,Impressions,CTR,Position
2025-12-21,659,8959,7.36%,25.4
2025-12-22,1070,15154,7.06%,19.1
2025-12-23,1049,16365,6.41%,16.8
2025-12-24,876,14145,6.19%,18.5
2025-12-25,969,14461,6.7%,16.3
2025-12-26,1071,16172,6.62%,14.7
2025-12-27,935,15048,6.21%,14.2
2025-12-28,932,13944,6.68%,16.2
2025-12-29,983,14275,6.89%,15
2025-12-30,1102,16008,6.88%,16.1
2025-12-31,879,16230,5.42%,17.7
2026-01-01,1144,20847,5.49%,20.6
2026-01-02,1182,20048,5.9%,16.9
2026-01-03,1461,23661,6.17%,12.6
2026-01-04,1418,28667,4.95%,11.8
2026-01-05,1288,19886,6.48%,15.7
2026-01-06,1443,20506,7.04%,13.1
2026-01-07,1722,22185,7.76%,13.9
2026-01-08,1941,33706,5.76%,13.5
2026-01-09,1826,29668,6.15%,13.1
2026-01-10,1735,27559,6.3%,15.4
2026-01-11,1725,24784,6.96%,15.7
2026-01-12,2245,37393,6%,12.3
2026-01-13,2265,42544,5.32%,12.5
2026-01-14,2054,39584,5.19%,13.5
2026-01-15,1734,36151,4.8%,13.3
2026-01-16,1693,28429,5.96%,15
2026-01-17,1614,29723,5.43%,14.9
2026-01-18,2043,39014,5.24%,13.2
2026-01-19,3043,43012,7.07%,14.2
2026-01-20,4449,91851,4.84%,9.3
2026-01-21,6026,148921,4.05%,8.4
2026-01-22,5624,145929,3.85%,8.8
2026-01-23,3360,129126,2.6%,8.7
2026-01-24,2674,84598,3.16%,10.2
2026-01-25,2238,48962,4.57%,12.1
2026-01-26,1992,39989,4.98%,14.6
2026-01-27,1889,35673,5.3%,14.9
2026-01-28,1865,39268,4.75%,15.3
2026-01-29,1641,37840,4.34%,14.7
2026-01-30,1900,45838,4.15%,13.7
2026-01-31,1644,50757,3.24%,13
2026-02-01,1634,52876,3.09%,14.5
2026-02-02,1824,49650,3.67%,12.8
2026-02-03,1866,47127,3.96%,10.9
2026-02-04,1981,56944,3.48%,10.4
2026-02-05,1961,54519,3.6%,12.7
2026-02-06,1654,37831,4.37%,12.5
2026-02-07,1728,39281,4.4%,11.8
2026-02-08,1732,47591,3.64%,11.1
2026-02-09,1637,46909,3.49%,12
2026-02-10,1632,54285,3.01%,11.5
2026-02-11,1547,50516,3.06%,12.8
2026-02-12,1828,73404,2.49%,10.7
2026-02-13,1585,53496,2.96%,11.2
2026-02-14,931,32416,2.87%,13.2
2026-02-15,1224,41353,2.96%,11.7
2026-02-16,2297,63201,3.63%,10.2
2026-02-17,2854,78421,3.64%,9.8
2026-02-18,2474,62915,3.93%,10.7
2026-02-19,2419,59870,4.04%,10
2026-02-20,2041,56253,3.63%,10.3
2026-02-21,1922,50955,3.77%,10.8
2026-02-22,1943,47393,4.1%,11
2026-02-23,2119,48152,4.4%,10.7
2026-02-24,2090,43863,4.76%,12.2
2026-02-25,2096,48554,4.32%,11.3
2026-02-26,2235,52496,4.26%,10.7
2026-02-27,2273,72139,3.15%,10.3
2026-02-28,2016,63273,3.19%,10.3
2026-03-01,2159,78810,2.74%,9.3
2026-03-02,2754,80134,3.44%,10.1
2026-03-03,2633,72945,3.61%,9.7
2026-03-04,2736,82795,3.3%,9.2
2026-03-05,2806,84402,3.32%,9.4
2026-03-06,2880,87900,3.28%,8.9
2026-03-07,2793,89844,3.11%,9.2
2026-03-08,2528,84096,3.01%,9
2026-03-09,2479,84295,2.94%,9.2
2026-03-10,2722,84770,3.21%,9.1
2026-03-11,2940,88167,3.33%,9.3
2026-03-12,3011,102639,2.93%,8.8
2026-03-13,3203,111156,2.88%,8.5
2026-03-14,2964,100700,2.94%,8.8
2026-03-15,2701,79914,3.38%,8.7
2026-03-16,2671,94886,2.81%,8.4
2026-03-17,2859,88440,3.23%,8.6
2026-03-18,3293,115374,2.85%,8
2026-03-19,4191,132681,3.16%,8
2026-03-20,4300,143495,3%,7.8
