Country,Clicks,Impressions,CTR,Position
India,46821,749749,6.24%,8.67
United States,18768,957689,1.96%,14.65
Philippines,17526,332390,5.27%,6.95
Nigeria,17060,298150,5.72%,10.82
Pakistan,6823,124093,5.5%,9.59
United Kingdom,5108,198018,2.58%,12.23
Indonesia,5091,125067,4.07%,9.57
Bangladesh,5054,73484,6.88%,10.51
Canada,3279,104607,3.13%,11.53
Germany,3156,86250,3.66%,12.49
Malaysia,3036,67876,4.47%,8.57
Vietnam,2717,75574,3.6%,9.7
Netherlands,2374,64730,3.67%,11.52
Russia,2252,43217,5.21%,13.03
Brazil,2224,122612,1.81%,7.73
Egypt,2184,50289,4.34%,10.9
United Arab Emirates,1944,36266,5.36%,12.41
Australia,1936,68393,2.83%,13.19
Italy,1764,70003,2.52%,11.06
Saudi Arabia,1764,48538,3.63%,10.32
Iran,1737,20352,8.53%,7.99
Singapore,1572,38730,4.06%,9.19
Turkey,1511,35203,4.29%,12.15
France,1488,53918,2.76%,12.84
Thailand,1375,25166,5.46%,11.98
Ghana,1334,31300,4.26%,9.6
Poland,1319,51903,2.54%,10.08
Spain,1213,46547,2.61%,12.03
Sri Lanka,1110,28350,3.92%,8.52
Israel,1102,25594,4.31%,11.76
Hong Kong,1081,25069,4.31%,8.77
Morocco,1074,26666,4.03%,9.57
Nepal,997,23274,4.28%,8.34
Cambodia,836,19015,4.4%,8.48
Japan,828,20734,3.99%,8.92
South Africa,802,32488,2.47%,8.95
Romania,754,21101,3.57%,10.11
Ukraine,740,21432,3.45%,11.49
Switzerland,695,25595,2.72%,11.41
Kenya,650,27623,2.35%,7.65
Mexico,636,28687,2.22%,9.22
Belgium,608,17423,3.49%,10.35
Algeria,577,24818,2.32%,9.73
Sweden,569,19676,2.89%,10.36
South Korea,537,12846,4.18%,12.51
Iraq,510,17044,2.99%,8.26
Ireland,502,26827,1.87%,9.02
Austria,440,15278,2.88%,10.59
Czechia,413,16992,2.43%,9.73
Portugal,409,18441,2.22%,9.22
Norway,395,11646,3.39%,10.07
Uzbekistan,379,6561,5.78%,8.24
Tunisia,372,13192,2.82%,8.71
Myanmar (Burma),370,13017,2.84%,8.2
Greece,365,12097,3.02%,10.29
Denmark,353,12150,2.91%,11.39
Qatar,352,7034,5%,9.03
Ethiopia,347,7951,4.36%,8.03
Taiwan,330,8648,3.82%,9.31
Colombia,324,36008,0.9%,8.81
Peru,321,12737,2.52%,10.18
Argentina,314,23825,1.32%,9.11
New Zealand,306,15350,1.99%,11.92
Jordan,292,9129,3.2%,9.06
Hungary,288,12931,2.23%,9.9
Azerbaijan,279,7989,3.49%,9.14
Finland,272,11298,2.41%,9.81
Kazakhstan,263,5082,5.18%,10.24
Bulgaria,255,11549,2.21%,8.94
Kuwait,253,5230,4.84%,8.98
Serbia,238,11501,2.07%,9.1
Lithuania,216,8870,2.44%,9.3
Oman,214,6982,3.07%,12.45
Côte d’Ivoire,205,6577,3.12%,11.07
Lebanon,199,5805,3.43%,8.19
Chile,196,11645,1.68%,9.06
Belarus,193,5354,3.6%,14.92
China,192,6325,3.04%,8.39
Benin,183,3765,4.86%,14.92
Slovakia,181,7516,2.41%,9.67
Uganda,181,2839,6.38%,8.71
Georgia,177,5365,3.3%,10.5
Bahrain,174,4191,4.15%,8.75
Latvia,169,5250,3.22%,10.5
Croatia,164,8170,2.01%,9.24
Albania,153,6842,2.24%,8.5
Tanzania,127,4350,2.92%,8.2
Moldova,126,3568,3.53%,10.23
Estonia,124,3795,3.27%,9.91
Palestine,117,4117,2.84%,8.8
Afghanistan,113,2619,4.31%,9.26
Slovenia,112,4933,2.27%,9.33
Cyprus,110,2838,3.88%,11.83
Armenia,108,3240,3.33%,11.53
Syria,105,3447,3.05%,8.34
Kyrgyzstan,103,1687,6.11%,8.82
Dominican Republic,100,4537,2.2%,8.69
Bosnia & Herzegovina,98,4361,2.25%,9.66
Venezuela,94,9588,0.98%,9.73
Yemen,86,2401,3.58%,8.15
Mongolia,86,1890,4.55%,9.19
Ecuador,82,12439,0.66%,8.64
Guatemala,81,4793,1.69%,8.66
Macedonia,80,3067,2.61%,9.83
Bolivia,76,2039,3.73%,11.58
Unknown Region,74,1178,6.28%,7.9
Costa Rica,71,2972,2.39%,9.28
Kosovo,68,2298,2.96%,7.26
Mauritius,64,2010,3.18%,9.72
Panama,60,2005,2.99%,9.69
Maldives,60,1176,5.1%,7.62
Luxembourg,56,2035,2.75%,10.57
Puerto Rico,54,1963,2.75%,8.96
Cameroon,54,1421,3.8%,10.22
Uruguay,49,2942,1.67%,8.79
Laos,49,1695,2.89%,8.41
Jamaica,46,2537,1.81%,8.28
Libya,45,2557,1.76%,9.15
Malta,45,1831,2.46%,9.18
Brunei,44,916,4.8%,8.52
Trinidad & Tobago,42,3466,1.21%,10.76
Honduras,42,1806,2.33%,8.68
Zimbabwe,41,1770,2.32%,8.95
El Salvador,40,1591,2.51%,9.09
Madagascar,39,1340,2.91%,9.84
Senegal,39,1230,3.17%,10.18
Macau,39,559,6.98%,7.45
Somalia,38,992,3.83%,9.06
Iceland,35,967,3.62%,11.49
Zambia,33,1177,2.8%,9.24
Mozambique,31,754,4.11%,8.61
Rwanda,30,1754,1.71%,8.99
Togo,30,685,4.38%,11.16
Turkmenistan,27,303,8.91%,8.81
Paraguay,25,3339,0.75%,8.24
Montenegro,25,970,2.58%,10.52
Congo - Kinshasa,25,525,4.76%,8.57
Mauritania,20,313,6.39%,7.21
Sudan,19,1168,1.63%,7.31
Angola,19,880,2.16%,13.04
Tajikistan,19,424,4.48%,8.24
Botswana,17,803,2.12%,9.78
Nicaragua,16,2738,0.58%,7.91
Malawi,16,474,3.38%,8.01
Papua New Guinea,16,444,3.6%,7.07
Bahamas,15,883,1.7%,8.88
Namibia,15,587,2.56%,11.48
Bhutan,14,406,3.45%,7.86
Guinea,14,167,8.38%,7.49
Belize,13,675,1.93%,11.48
Andorra,13,385,3.38%,12.88
Jersey,13,210,6.19%,8.09
Guyana,12,540,2.22%,9.01
Fiji,12,484,2.48%,8.3
Cuba,11,531,2.07%,9.7
Barbados,10,776,1.29%,6.62
Haiti,10,404,2.48%,11.56
Isle of Man,10,260,3.85%,8.3
Sierra Leone,10,235,4.26%,7.86
Western Sahara,8,407,1.97%,8.09
Gabon,8,252,3.17%,10.05
Djibouti,8,101,7.92%,6.89
Cayman Islands,7,192,3.65%,7.95
Turks & Caicos Islands,7,102,6.86%,5.75
Lesotho,6,202,2.97%,7.59
South Sudan,6,178,3.37%,6.96
Liberia,5,198,2.53%,7.33
Aruba,5,177,2.82%,7.56
Mali,5,171,2.92%,8.23
Seychelles,4,682,0.59%,8.34
Suriname,4,330,1.21%,9.23
Gambia,4,317,1.26%,8.11
Burkina Faso,4,281,1.42%,11.99
Guam,4,202,1.98%,7.07
Martinique,4,119,3.36%,10.9
Timor-Leste,4,117,3.42%,6.46
Swaziland,3,236,1.27%,7.36
Congo - Brazzaville,3,235,1.28%,9.66
St. Lucia,3,216,1.39%,7.49
Chad,3,65,4.62%,8.55
Burundi,2,182,1.1%,10.4
Réunion,2,154,1.3%,9.58
Bermuda,2,123,1.63%,6.98
Guernsey,2,106,1.89%,6.55
Liechtenstein,2,104,1.92%,16.57
Sint Maarten,2,84,2.38%,6.6
Cape Verde,1,217,0.46%,15.39
Curaçao,1,201,0.5%,6.59
Grenada,1,177,0.56%,7.51
Antigua & Barbuda,1,164,0.61%,7.9
US Virgin Islands,1,132,0.76%,7.17
St. Kitts & Nevis,1,121,0.83%,7.6
Gibraltar,1,106,0.94%,7.72
St. Vincent & Grenadines,1,99,1.01%,7.18
Niger,1,98,1.02%,8.73
Faroe Islands,1,95,1.05%,6.14
San Marino,1,87,1.15%,7.87
Northern Mariana Islands,1,81,1.23%,6.27
Monaco,1,71,1.41%,10.55
Guinea-Bissau,1,68,1.47%,10.6
Solomon Islands,1,58,1.72%,7.05
Vanuatu,1,48,2.08%,7.31
Greenland,1,38,2.63%,9.18
French Polynesia,1,32,3.12%,7.88
Samoa,1,29,3.45%,10.07
St. Martin,1,27,3.7%,7.04
