Date,Clicks,Impressions,CTR,Position
2026-05-25,1,49,2.04%,37.5
2026-05-26,0,39,0%,26.7
2026-05-27,2,40,5%,35.1
2026-05-28,4,65,6.15%,31.8
2026-05-29,4,74,5.41%,35.1
2026-05-30,2,64,3.12%,31.5
2026-05-31,2,67,2.99%,16.8
2026-06-01,1,106,0.94%,20.9
2026-06-02,5,102,4.9%,15.7
2026-06-03,2,57,3.51%,31.3
2026-06-04,3,49,6.12%,24.3
2026-06-05,2,45,4.44%,29.9
2026-06-06,1,52,1.92%,30.7
2026-06-07,4,40,10%,27
2026-06-08,3,73,4.11%,20.1
2026-06-09,4,50,8%,24.5
2026-06-10,1,37,2.7%,28.3
2026-06-11,0,37,0%,23.1
2026-06-12,5,68,7.35%,21.3
2026-06-13,3,110,2.73%,14.8
2026-06-14,5,104,4.81%,12.2
2026-06-15,8,90,8.89%,17.3
2026-06-16,3,72,4.17%,10.1
2026-06-17,3,69,4.35%,8.8
2026-06-18,3,47,6.38%,11.3
2026-06-19,1,17,5.88%,7.2
2026-06-20,0,4,0%,3.2
2026-06-21,1,6,16.67%,4.2
2026-06-22,1,11,9.09%,4
2026-06-23,2,11,18.18%,3.9
2026-06-24,1,10,10%,4.1
2026-06-25,0,14,0%,4
2026-06-26,1,7,14.29%,5.4
2026-06-27,1,9,11.11%,4.6
2026-06-28,1,10,10%,6.3
2026-06-29,0,8,0%,4.8
2026-06-30,0,10,0%,4.2
2026-07-01,0,11,0%,5.7
2026-07-02,1,22,4.55%,6.8
2026-07-03,0,8,0%,5.5
2026-07-04,0,10,0%,5.5
2026-07-05,0,5,0%,6.4
2026-07-06,1,10,10%,4.2
2026-07-07,2,13,15.38%,5
2026-07-08,0,8,0%,3.8
2026-07-09,0,8,0%,4.5
2026-07-10,0,3,0%,4.7
2026-07-11,1,7,14.29%,6.9
2026-07-12,1,9,11.11%,9.4
2026-07-13,1,21,4.76%,6.2
2026-07-14,1,11,9.09%,3.9
2026-07-15,0,2,0%,22.5
2026-07-16,0,8,0%,3.8
2026-07-17,0,6,0%,4.3
2026-07-18,0,10,0%,4.4
2026-07-19,0,6,0%,3.5
2026-07-20,2,10,20%,5.2
2026-07-21,0,12,0%,6
2026-07-22,0,12,0%,5.2
2026-07-23,1,15,6.67%,4.1
2026-07-24,0,10,0%,4
2026-07-25,0,5,0%,2.6
2026-07-26,0,4,0%,3.8
2026-07-27,1,10,10%,3.9
2026-07-28,4,20,20%,3.9
2026-07-29,0,12,0%,6.1
2026-07-30,2,7,28.57%,2.7
2026-07-31,1,8,12.5%,5.4
2026-08-01,1,16,6.25%,3.8
2026-08-02,0,7,0%,3.6
2026-08-03,0,5,0%,2.8
2026-08-04,0,14,0%,4.6
2026-08-05,1,13,7.69%,3.6
2026-08-06,0,3,0%,6
2026-08-07,0,9,0%,5
2026-08-08,0,13,0%,3.6
2026-08-09,0,6,0%,4.7
2026-08-10,0,12,0%,4.9
2026-08-11,0,9,0%,4
2026-08-12,0,13,0%,5.5
2026-08-13,1,11,9.09%,20.3
2026-08-14,1,7,14.29%,7.1
2026-08-15,0,6,0%,3.7
2026-08-16,4,14,28.57%,4.1
2026-08-17,0,14,0%,6.1
2026-08-18,0,13,0%,8.5
2026-08-19,1,15,6.67%,9.3
2026-08-20,0,8,0%,4.5
2026-08-21,0,9,0%,6.1
2026-08-22,0,9,0%,14.2
2026-08-23,0,5,0%,4.8
2026-08-24,0,11,0%,4.4
