Country,Clicks,Impressions,CTR,Position
India,69,1332,5.18%,16.71
Brazil,14,302,4.64%,4.72
Nigeria,8,16,50%,144.81
United States,3,221,1.36%,30.63
Pakistan,2,25,8%,18.64
Philippines,2,13,15.38%,27.62
Turkey,2,3,66.67%,3.33
United Kingdom,1,28,3.57%,22.14
Indonesia,1,22,4.55%,6.14
Netherlands,1,15,6.67%,9.73
Egypt,1,11,9.09%,48.82
Nepal,1,9,11.11%,6
Japan,1,5,20%,6.2
Myanmar (Burma),1,1,100%,3
Ghana,1,1,100%,187
Canada,0,28,0%,26
France,0,19,0%,8.16
Bangladesh,0,14,0%,45.43
Poland,0,12,0%,6.75
Belgium,0,11,0%,6.64
Malaysia,0,11,0%,7.64
Bolivia,0,9,0%,3.56
Mexico,0,8,0%,7.12
Australia,0,8,0%,34.62
Germany,0,7,0%,6
South Africa,0,6,0%,5.17
Italy,0,6,0%,7.67
Singapore,0,5,0%,4.6
Belarus,0,5,0%,5.8
United Arab Emirates,0,5,0%,6
Thailand,0,5,0%,38.2
Spain,0,4,0%,5.75
Romania,0,4,0%,5.75
Vietnam,0,4,0%,7
Qatar,0,4,0%,7.5
Lithuania,0,4,0%,8.5
Portugal,0,4,0%,9.75
China,0,4,0%,10.75
Russia,0,4,0%,30.75
Slovenia,0,3,0%,3
Saudi Arabia,0,3,0%,3.33
Serbia,0,3,0%,5.33
Peru,0,3,0%,7.67
Switzerland,0,3,0%,8.67
South Korea,0,3,0%,9
Morocco,0,3,0%,29.33
Guatemala,0,2,0%,3
Norway,0,2,0%,3.5
Croatia,0,2,0%,4
Ireland,0,2,0%,4
Colombia,0,2,0%,5
Angola,0,2,0%,6
Hong Kong,0,2,0%,6
Puerto Rico,0,2,0%,6
Ukraine,0,2,0%,6
Kenya,0,2,0%,7.5
Sri Lanka,0,2,0%,8
Kazakhstan,0,2,0%,8.5
Sweden,0,2,0%,8.5
Jordan,0,2,0%,13
Brunei,0,2,0%,64.5
Côte d’Ivoire,0,1,0%,1
Luxembourg,0,1,0%,1
Dominican Republic,0,1,0%,2
Iran,0,1,0%,3
Chile,0,1,0%,4
Sudan,0,1,0%,4
Panama,0,1,0%,5
Afghanistan,0,1,0%,7
Kuwait,0,1,0%,7
Iraq,0,1,0%,8
Israel,0,1,0%,8
Rwanda,0,1,0%,8
Bosnia & Herzegovina,0,1,0%,9
Cuba,0,1,0%,9
Argentina,0,1,0%,10
Algeria,0,1,0%,10
Finland,0,1,0%,10
Cyprus,0,1,0%,11
Zambia,0,1,0%,11
Czechia,0,1,0%,17
Palestine,0,1,0%,30
Costa Rica,0,1,0%,40
